subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC107,0.0761189882849106,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC123,-0.16923921128788874,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC127,-0.33085332892608593,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC131,0.0297264657295253,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC133,-0.13218964755954796,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC135,0.38422709808915806,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC149,-0.03827761882891444,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC155,0.25959980323867565,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC157,-0.19343893968088652,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC177,0.34653446568108354,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC199,0.27480124139432677,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC205,-0.08520430540367531,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC211,0.1181021755538317,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC223,0.423874391135299,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC227,0.18002996826029696,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC233,-0.10941499076023818,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC253,0.02776699865018676,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC47,0.33894298229263214,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC63,0.1961387139759864,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC7,0.07952188010916789,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC85,-0.5654122402315171,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC87,0.03149779532838063,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC91,0.44886248119597055,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC93,0.4344396898454086,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICC97,0.5807367501811689,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICN2,0.19562542346691097,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-ICN8,0.24165319611679348,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC13,0.026400389223954535,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC17,0.115267166448574,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC21,0.288148858948699,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC25,0.2467205898744022,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC41,0.4295032629935222,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRC45,0.21566360108345758,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRN1,-0.06658718195965595,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRN12,0.31833020611303675,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRN30,0.29533921210600483,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRN68,0.10375761931338744,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
sub-IRN76,0.3728400841540105,0.1472211131656211,0.2522736484240317,0.06346364080373836,0.228919133786726
