subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC113,0.5908098828738055,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC125,0.4619876446568003,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC131,0.4188126558794967,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC139,-0.12821653011716913,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC147,-0.1815068560833896,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC165,0.6321967427123258,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC179,0.12105492922264507,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC185,0.43039027881071,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC225,0.6401987015046863,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC53,-0.15454688425729607,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC55,-0.26317253167816684,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICC97,-0.24118941791124832,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-ICN2,0.2469515081380702,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRC19,-0.19705695725134767,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRC25,0.1611123142497918,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRC27,0.32698029987088056,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRC45,0.31685830077346955,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRN20,0.24729191393384042,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRN32,0.42087206421709494,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRN42,0.21852458382016643,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
sub-IRN60,0.11478433172464958,0.21779222808224236,0.3149970171024469,0.07277701589403056,0.3537892380169739
