subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC111,0.1700503090052059,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC123,0.004614322445404677,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC127,0.030596430812334527,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC135,0.2731392428488672,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC155,0.1694651678808308,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC163,0.707607511382907,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC167,0.2535919005472423,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC169,-0.04970904451477726,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC185,0.23967210032220573,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC187,0.30591882531814657,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC189,0.4724274012375782,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC191,0.6627252938420218,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC205,0.32887674326152505,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC221,0.018436449006094827,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC229,0.10830976686754844,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC237,-0.142622313140576,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC243,-0.05470668471527864,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC37,0.3765523631135705,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC43,0.02063076181019891,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-ICC63,0.38715141106226203,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRC109,0.14781813619518783,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRC119,0.10024466836260465,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRC31,-0.059072060580304786,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRC49,0.12136811486396828,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN22,0.3082100307320448,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN34,0.33471786149011973,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN36,-0.21830906643201542,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN44,0.5862092950003218,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN66,0.406608016467885,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN68,0.21557525722131712,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN74,0.1441894897747503,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
sub-IRN78,0.09591014437181189,0.2164571860698452,0.2494455208934767,0.1273676753214259,0.3020819737676888
