subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC145,0.0391234316507813,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC165,0.09515386978575831,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC167,0.13789943690221043,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC183,0.3836659431443553,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC197,0.1614236948239593,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC225,0.23999262743968075,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC227,0.017898580335825073,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC235,0.47543815920004046,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC257,0.30571855440549023,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC53,0.2552745870770793,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICC91,0.21456821088393896,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICN14,-0.04755169874193202,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-ICN46,0.2610318839467187,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC109,0.14116091985064202,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC119,0.5752938623882515,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC19,0.391798848316818,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC27,-0.22922388138238015,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC29,-0.3355318943574266,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRC9,0.5007676854007893,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN26,0.39347637017571135,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN36,0.4284028285813879,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN42,-0.043486797803760996,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN60,0.1529348886321636,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN62,-0.1520012357850427,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
sub-IRN64,0.1453045691995622,0.18935593314808638,0.2426827886994941,0.08921753147488373,0.28570456302163827
