subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC115,0.46853016252993884,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC141,0.458330411277394,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC145,0.45048551470904574,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC167,0.04917873178437015,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC183,0.26211907072723734,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC195,0.5221775894558255,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC201,0.21552587254600977,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC213,0.2840257587038081,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC217,0.3903664165796753,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC225,-0.1465415898285174,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC229,0.18509216137524012,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC53,0.28916259017014023,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC59,0.11251388066816238,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICC83,0.002686089470426589,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-ICN14,0.40140581960555766,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRC119,-0.0544810154230224,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRC29,-0.21047340294422248,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRN26,0.05138811533630023,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRN30,0.3090772240208317,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRN42,0.050971213631487634,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
sub-IRN62,0.6408136677851378,0.23821476060634655,0.24822466652748493,0.12679358815224082,0.3436994751909081
