subject,loo_isc,mean_isc,std_isc,ci_low,ci_high
sub-ICC105,-0.21521309146952283,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC117,-0.1884504009490595,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC133,0.3613563543715871,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC141,0.5290227130648638,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC153,-0.12469005667558107,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC177,-0.07262108613261554,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC183,0.04168634284036076,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC189,0.15419355222958056,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC201,0.14234093555440572,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC207,0.2521952785856227,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC221,0.3385176738944064,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC23,-0.17661650259228304,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC237,-0.1441160494758862,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC241,0.05315971247454821,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC243,0.10302505661507791,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC255,0.2840334105821763,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC75,0.19785547729109346,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICC87,0.2523026052207158,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-ICN8,-0.044040706283019676,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-IRC21,0.30033297173492385,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-IRC3,-0.10844802440340798,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-IRC69,-0.04808827484555461,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-IRN44,-0.03516765497365093,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
sub-IRN62,-0.06293161878632822,0.07918593271074549,0.211131928880945,-0.011161981161600958,0.16825140580347456
